tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
62223,BLR,RUS,2016,X,40,X,2017,N/A,2B23 NONA-M1 120mm,AR,Towed mortar,,40,,2017,Belarus,Russia,N,0.05,2,2
56756,BLR,RUS,2012,X,150,X,2014,N/A,48N6/SA-10,MI,SAM,L,150,X,2014,Belarus,Russia,S,0.44,66,66
39445,BLR,RUS,2005,,150,X,2006,N/A,5V55R/SA-10B,MI,SAM,L,150,X,2006,Belarus,Russia,S,0.32,48,48
53406,BLR,RUS,2009,X,200,X,2012,N/A,9M338/SA-15,MI,SAM,L,200,X,2011-2012,Belarus,Russia,N,0.25,50,50
55742,BLR,RUS,2012,X,100,X,2013,N/A,9M338/SA-15,MI,SAM,L,100,X,2013,Belarus,Russia,N,0.25,25,25
60467,BLR,RUS,2013,,100,X,2017,N/A,9M338/SA-15,MI,SAM,L,100,X,2017,Belarus,Russia,N,0.25,25,25
61648,BLR,RUS,2017,,100,X,2018,N/A,9M338/SA-15,MI,SAM,L,100,X,2018,Belarus,Russia,N,0.25,25,25
62528,BLR,RUS,2016,,39,X,0,N/A,KAMAZ-7403,EN,Diesel engine,,7,X,2018,Belarus,Russia,N,0.04,1.56,0.28
58514,BLR,RUS,2015,,12,,2017,N/A,Mi-8MT/Mi-17,AC,Transport helicopter,L,12,,2016-2017,Belarus,Russia,N,6.75,81,81
27730,BLR,RUS,1996,,4,X,1999,N/A,MiG-29,AC,Fighter aircraft,L,4,X,1998-1999,Belarus,Russia,N,20.65,82.6,82.6
60003,BLR,RUS,2014,X,7,X,0,N/A,Protivnik-GE,GR,Air search radar,,4,X,2016-2018,Belarus,Russia,N,13,91,52
53278,BLR,RUS,2014,X,4,,2016,N/A,S-300PMU1/SA-20A,AD,SAM system,L,4,X,2015-2016,Belarus,Russia,S,18.8,75.2,75.2
30879,BLR,RUS,2005,,4,X,2006,N/A,S-300PS/SA-10B,AD,SAM system,L,4,X,2006,Belarus,Russia,S,17,68,68
54491,BLR,RUS,2017,,12,,0,N/A,Su-30MK,AC,FGA aircraft,L,,,,Belarus,Russia,N,55,660,0
61099,BLR,RUS,2015,,,,0,N/A,T-72B3,AV,Tank,L,14,X,2017-2018,Belarus,Russia,N,4,0,56
51207,BLR,RUS,2009,X,8,X,2012,N/A,Tor-M1/SA-15,AD,Mobile SAM system,L,8,X,2011-2012,Belarus,Russia,N,12.5,100,100
55741,BLR,RUS,2012,X,4,,2013,N/A,Tor-M1/SA-15,AD,Mobile SAM system,L,4,,2013,Belarus,Russia,N,12.5,50,50
55824,BLR,RUS,2013,X,4,,2017,N/A,Tor-M1/SA-15,AD,Mobile SAM system,L,4,,2017,Belarus,Russia,N,12.5,50,50
61649,BLR,RUS,2017,,4,,2018,N/A,Tor-M1/SA-15,AD,Mobile SAM system,L,4,,2018,Belarus,Russia,N,12.5,50,50
53718,BLR,RUS,2012,,4,,2015,N/A,Yak-130,AC,Trainer/combat ac,L,4,X,2015,Belarus,Russia,N,7.6,30.4,30.4
58553,BLR,RUS,2015,,4,,2016,N/A,Yak-130,AC,Trainer/combat ac,L,4,,2016,Belarus,Russia,N,10,40,40
